,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
483,Spy Time,2015,N/A,04 Sep 2015,93 min,"Action, Comedy",Javier Ruiz Caldera,"Fernando Navarro (screenplay by), Pablo Alén (screenplay by), Breixo Corral (screenplay by), Manuel Vázquez (based on the characters created by)","Imanol Arias, Quim Gutiérrez, Alexandra Jiménez, Berto Romero","Adolfo, a thirty something security guard, is going through a bad patch. Not only his lifetime girlfriend has just to finished with him to be a guy with no ambition but, moreover, he ...",Spanish,Spain,9 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BNzNhY2YyYzctZGEwNi00MjFjLThiZWMtM2U2NmEwODdiMGExXkEyXkFqcGdeQXVyNTczMTU0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"3,563",tt3510480,movie,N/A,N/A,N/A,N/A,True,,
484,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
485,Tyke Elephant Outlaw,2015,N/A,18 Apr 2015,78 min,Documentary,"Susan Lambert, Stefan Moore",N/A,Sally Joseph,"This is the gripping and emotionally charged story of Tyke, a circus elephant that went on a rampage in Honolulu in 1994, killed her trainer in front of thousands of spectators and died in ...",English,Australia,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjAzNzk0ODcyM15BMl5BanBnXkFtZTgwOTg5MDkxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,574,tt4254838,movie,N/A,N/A,N/A,N/A,True,,
486,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
487,Black Man White Skin,2015,N/A,29 Oct 2015,108 min,Documentary,Jose Manuel Colón Armario,N/A,"Óscar Jaenada, Ochoa Juan, Zoe Saldana",N/A,"Spanish, French",Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,9,tt9853686,movie,N/A,N/A,N/A,N/A,True,,
488,72 Cutest Animals,2016–,N/A,01 Jun 2016,27 min,Documentary,N/A,N/A,Graham Mitchell,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,"English, German, Italian, French, Spanish",Australia,N/A,https://m.media-amazon.com/images/M/MV5BNzA4NzRhNDQtZWJhOC00ZTFmLTllM2UtZGEyMWU1NmViZTkxXkEyXkFqcGdeQXVyNjYxNDUxNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,193,tt5815824,series,,,,,True,1,
489,The Fear of 13,2015,N/A,15 Nov 2015,96 min,"Documentary, Crime, Mystery",David Sington,N/A,"Herbert A. Fuchs, Sammy Silverwatch, Nick Yarris",A convicted murderer who has spent 23 years on Death Row tells his story.,English,UK,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4Mzk3NDE0MF5BMl5BanBnXkFtZTgwMDc5ODc2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,7.7,"6,305",tt5083702,movie,N/A,N/A,N/A,N/A,True,,
490,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
491,The Last Man on the Moon,2014,TV-MA,26 Feb 2016,95 min,"Documentary, Adventure, Biography, History",Mark Craig,"Eugene Cernan (story), Mark Craig","Alan Bean, Eugene Cernan, Jonathan Cohen, Charles Duke","When Apollo astronaut Gene Cernan stepped off the moon in December 1972 he left his footprints and his daughter's initials in the lunar dust. Only now is he ready to share his epic but deeply personal story of fulfillment, love, and loss.",English,UK,5 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTg0NDg2NDAwNl5BMl5BanBnXkFtZTgwMzk1Njk0NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.4,"2,999",tt3219604,movie,26 Apr 2016,"$30,880",Gravitas Ventures,N/A,True,,
492,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
493,The Do-Over,2016,TV-MA,27 May 2016,108 min,"Action, Adventure, Comedy, Mystery",Steven Brill,"Kevin Barnett, Chris Pappas","Adam Sandler, David Spade, Paula Patton, Kathryn Hahn","Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYyNDY2NzAxNV5BMl5BanBnXkFtZTgwOTMxMzg2ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,5.7,"36,480",tt4769836,movie,27 May 2016,N/A,Netflix,N/A,True,,
494,Dramaworld,2016–2019,N/A,17 Apr 2016,15 min,"Short, Comedy, Drama, Fantasy",N/A,"Josh Billig, Chris Martin","Liv Hewson, Sean Dulake, Noo-Ri Bae, Justin Chon",What would YOU do if you fell into your favorite K-drama?,"English, Korean","USA, South Korea, China",1 win.,https://m.media-amazon.com/images/M/MV5BZmNlYjE3M2YtNDE3Zi00ZGMxLThjZGItYjJhZTQwNTMxZDE2XkEyXkFqcGdeQXVyMzEzMjk0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"1,481",tt5468694,series,,,,,True,1,
495,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
496,Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,N/A,22 Jan 2016,102 min,Documentary,"David Morris, Jacqui Morris","David Morris, Jacqueline Morris","Harold Evans, Ralph Nader, Michael Sheen",BEFORE THE INTERNET. BEFORE SOCIAL MEDIA. BEFORE BREAKING NEWS. THE VICTIMS OF THALIDOMIDE HAD TO RELY ON SOMETHING EVEN MORE EXTRAORDINARY TO FIGHT THEIR CORNER: INVESTIGATIVE JOURNALISM. ...,English,UK,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZWE4MDhmM2YtMmVlNy00MjRkLTg0OTktMmM2NmI4ZGFjMTA0XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,389,tt3779818,movie,N/A,N/A,N/A,N/A,True,,
497,How to Sell a Banksy,2012,Not Rated,06 Jan 2012,85 min,"Documentary, Adventure, Comedy, Crime","Christopher Thompson, Alper Cagatay(co-director)",N/A,N/A,Have you ever wondered what would happen if you got your hands on Banksy's work? Does it mean you've found a winning lottery ticket or just scraped some worthless crap off a wall?,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjAyNzc1OTk4NF5BMl5BanBnXkFtZTgwOTQ1MDQ0NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,197,tt1865403,movie,N/A,N/A,N/A,N/A,True,,
498,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
499,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
500,Ali Wong: Baby Cobra,2016,TV-MA,05 May 2016,60 min,Comedy,Jay Karas,Ali Wong,Ali Wong,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWZmODIxMDEtZGY1My00OGEyLWE3NTQtN2Y4MTFkMzdlMTc4XkEyXkFqcGdeQXVyNjcwNDI1MDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,"5,171",tt5066574,movie,06 May 2016,N/A,Netflix,N/A,True,,
501,4th Man Out,2015,Unrated,05 Feb 2016,86 min,"Comedy, Drama",Andrew Nackman,Aaron Dancik,"Parker Young, Evan Todd, Chord Overstreet, Jon Gabrus","A car mechanic in a small, working class town comes out of the closet to his unsuspecting, blue-collar best friends.",English,USA,11 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTg2Nzk3MDI5Nl5BMl5BanBnXkFtZTgwMzM3MjQ1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.7,"8,870",tt3978720,movie,N/A,N/A,N/A,N/A,True,,
502,Palm Trees in the Snow,2015,N/A,25 Dec 2015,163 min,"Drama, Romance",Fernando González Molina,"Sergio G. Sánchez, Luz Gabás (novel)","Mario Casas, Adriana Ugarte, Macarena García, Alain Hernández","After the death of her father, a young Spanish woman discovers a partial letter. As she searches for the answers, she embarks on a journey that takes her back to Africa, where she unfolds the secrets of her family.","Spanish, Kriolu, Aragonese",Spain,5 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BODAyYmY5NTQtZTE4YS00YzMzLWFiZmQtNWYwYjUxMTU4Yzg1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,7.4,"9,074",tt3202202,movie,N/A,N/A,N/A,N/A,True,,
503,Stop at Nothing: The Lance Armstrong Story,2014,TV-14,27 May 2014,104 min,"Documentary, Biography, Sport",Alex Holmes,Alex Holmes,"Reed Albergotti, Betsy Andreu, Frankie Andreu, Kristin Armstrong","An intimate but explosive portrait of the man behind the greatest fraud in sporting history. Lance Armstrong enriched himself by cheating his fans, his sport, and the truth. But the former ...",English,"Australia, UK, USA, New Zealand, Italy, France",1 win.,https://m.media-amazon.com/images/M/MV5BMzYwZDY3NjYtODU2OC00NWUyLWI4NmEtNDYwYWI4ZWM0NmFhXkEyXkFqcGdeQXVyNjYzNTAzODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"2,569",tt3511812,movie,N/A,N/A,ABC Commercial,N/A,True,,
504,Terra,2015,N/A,01 Dec 2015,98 min,Documentary,"Yann Arthus-Bertrand, Michael Pitiot",Michael Pitiot,Vanessa Paradis,A visually stunning documentary that reflects human's relationship to other species on Earth as humanity becomes more and more isolated from Nature.,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMzhlMzI1NTQtYWI1Yi00MzdiLWIyMGYtMzM1YmZjYjk5MGRhXkEyXkFqcGdeQXVyMzg1NTAxMzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"1,687",tt5733210,movie,N/A,N/A,N/A,N/A,True,,
505,Special Correspondents,2016,TV-MA,29 Apr 2016,101 min,Comedy,Ricky Gervais,Ricky Gervais,"Ricky Gervais, Eric Bana, Vera Farmiga, Kelly Macdonald",A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,"English, Spanish","Canada, UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTQ2MzUwODQzMF5BMl5BanBnXkFtZTgwMTA5MDM0ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.8,"18,239",tt4181052,movie,29 Apr 2016,N/A,Netflix,N/A,True,,
506,Team Foxcatcher,2016,TV-14,29 Apr 2016,90 min,"Documentary, Biography, Crime, History, Sport",Jon Greenhalgh,N/A,"Dan Chaid, John du Pont, Dave Schultz, Mark Schultz","Documentary filmmaker Jon Greenhalgh examines the life of Dave Schultz, a professional wrestler who was part of 'Team Foxcatcher', funded by multi-millionaire John du Pont.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BYjJiOWExZTQtNzY2OS00NzI1LWI5ZTgtNGRkOGFkOTA3MDg5XkEyXkFqcGdeQXVyMzE0MzA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.3,"4,427",tt5598216,movie,N/A,N/A,Madrose Productions,N/A,True,,
507,Patton Oswalt: Talking for Clapping,2016,TV-MA,22 Apr 2016,65 min,"Documentary, Comedy",N/A,Patton Oswalt,"Patton Oswalt, Boots Riley","Patton Oswalt takes the stage in San Francisco, where he talks about San Franciscans, the difficulties of being PC, fatherhood, his worst stand up experience, and the worlds most horrific Birthday Clown.",English,USA,Won 1 Primetime Emmy. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BZmMyYzAzMzktOWM4MS00YmI2LThmM2MtNjBkODZkOWQxODNmXkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,6.8,"1,640",tt5457520,movie,22 Apr 2016,N/A,Netflix,N/A,True,,
508,Band of Robbers,2015,TV-MA,15 Apr 2016,95 min,"Adventure, Comedy, Crime, Thriller","Aaron Nee, Adam Nee","Aaron Nee, Adam Nee, Mark Twain (novels)","Kyle Gallner, Adam Nee, Matthew Gray Gubler, Melissa Benoist","Tom Sawyer and Huck Finn are grown men, still searching for the hidden treasure that has eluded them since childhood.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTczNTE3ODc0NF5BMl5BanBnXkFtZTgwODU1MDQyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.0,"3,770",tt4048668,movie,N/A,N/A,N/A,N/A,True,,
509,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
510,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
511,Hush,2016,R,08 Apr 2016,82 min,"Horror, Thriller",Mike Flanagan,"Mike Flanagan, Kate Siegel","John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan",A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,"English, American Sign Language",USA,2 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BOWQ4OTdlODQtMDc3Yy00MGVmLWExYjUtOGI0Yjg4MDQzNDNhXkEyXkFqcGdeQXVyNjIzMzkyMzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.6,"88,114",tt5022702,movie,08 Apr 2016,N/A,Intrepid Pictures,N/A,True,,
512,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
513,Frank and Cindy,2015,R,01 Apr 2016,102 min,Comedy,G.J. Echternkamp,"G.J. Echternkamp (screenplay), G.J. Echternkamp (story), Alex Holdridge (screenplay)","Rene Russo, Oliver Platt, Johnny Simmons, Jane Levy","G.J. Echternkamp tells the story of his relationship with his parents, his mother Cindy (Russo) and his step-father, Frank (Platt). Frank used to be a member of OXO, a band from the '80s ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYyODM5MDA3NF5BMl5BanBnXkFtZTgwODIyNTM1ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,628,tt1239242,movie,N/A,N/A,N/A,N/A,True,,
514,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
515,Addicted to Sexting,2015,Not Rated,17 Nov 2015,80 min,Documentary,Joseph Tosconi,N/A,"Lisa Ann, Paul D'Angelo, Nina Hartley, Amie Harwick",A compelling look at the rise and proliferation of this social phenomenon from several varying perspectives and how the lives of those engaged in it are affected.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ1MzkxODU2M15BMl5BanBnXkFtZTgwNjg0ODM5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",N/A,3.8,756,tt5039822,movie,N/A,N/A,Lyrical Vine Entertainment,N/A,True,,
516,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
517,Cyborg 009 vs Devilman,2015,TV-14,11 Nov 2015,28 min,Animation,Jun Kawagoe,N/A,"Bryce Papenbrook, Johnny Yong Bosch, Christine Marie Cabanos, Spike Spencer",The Cyborg team and Devilman cross paths to take on evil demons and cyborgs.,Japanese,"Japan, USA",N/A,https://m.media-amazon.com/images/M/MV5BNTc0MTBhMDEtOTQ4Yi00ZmMzLWEwZmEtZTUxMjFlNmM1Mzg1XkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,193,tt5675016,series,,,,,True,1,
518,Steve Jobs: Billion Dollar Hippy,2011,N/A,14 Dec 2011,50 min,"Documentary, Biography","Laura Craig Gray, Tristan Quinn",N/A,"Evan Davis, Steve Jobs, Daniel Kottke, Stewart Brand","The Apple co-founder Steve Wozniak and other experts give their views on the rise, fall and come back of Apple with Steve Jobs at the helm.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BYmUwNTJlMTQtODIxMC00MGQ0LThhNjgtMTEwZDRmY2FmNGM1XkEyXkFqcGdeQXVyNjMzNTg0MjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,096",tt2132457,movie,N/A,N/A,N/A,N/A,True,,
519,Monkey Up,2016,PG,22 Jan 2016,83 min,"Comedy, Family, Fantasy",Robert Vince,"Robert Vince, Anna McRoberts, Kirsten Hansen, Mary Pocrnic","Larke Miller, Michael Teigen, Skylar Astin, David Milchard","With their parents preoccupied with their new careers, a young girl and her brother befriend a talking monkey who is struggling to be taken seriously as an actor.",English,Canada,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjAwNzIxOTMxMF5BMl5BanBnXkFtZTgwNjUzMjkzNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,310,tt4820278,movie,02 Feb 2016,N/A,Air Bud Entertainment,N/A,True,,
520,He Never Died,2015,R,18 Dec 2015,99 min,"Comedy, Drama, Fantasy, Thriller",Jason Krawczyk,Jason Krawczyk,"Henry Rollins, Booboo Stewart, Kate Greenhouse, Jordan Todosey","Jack, a social outcast, is thrust out of his comfort zone when the outside world bangs on his door and he can't contain his violent past.",English,Canada,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4MzcwMzAwOV5BMl5BanBnXkFtZTgwMzk0MzgyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.4,"16,204",tt2386404,movie,N/A,N/A,Alternate Ending Studios,N/A,True,,
521,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
522,Pee-wee's Big Holiday,2016,TV-PG,18 Mar 2016,90 min,"Comedy, Family",John Lee,"Paul Reubens, Paul Rust","Paul Reubens, Jordan Black, Doug Cox, Linda Porter",A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIyODA1MzYyM15BMl5BanBnXkFtZTgwMjQxODYyODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.1,"6,685",tt0837156,movie,N/A,N/A,N/A,N/A,True,,
523,Jimmy Carr: Funny Business,2016,Not Rated,18 Mar 2016,62 min,Comedy,Sam Wrench,Jimmy Carr (written with),Jimmy Carr,"A man, with an incredibly stupid laugh, tells jokes to an audience.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BM2NjMGI1YjktMjQ5Zi00M2ZjLTg5MmQtYWQ0OTVkOTVmODI2XkEyXkFqcGdeQXVyNTMyNzI0Mjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"3,142",tt5222724,movie,18 Mar 2016,N/A,Netflix,N/A,True,,
524,Sidetracked,2014,N/A,N/A,8 min,"Short, Drama, Fantasy",Zhihong Zhu,Zhihong Zhu,"Phillip Neath, Nicola Jefferies, Antonio Moffitt, Michael O'Sullivan","Guided by GPS navigation, a woman gets lost in the woods and encounters peculiar objects.",English,UK,N/A,N/A,[],N/A,N/A,N/A,tt3671644,movie,N/A,N/A,N/A,N/A,True,,
525,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
526,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
527,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
528,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
529,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
530,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
531,It's Now or Never,2015,N/A,13 Oct 2015,N/A,N/A,Kajetan Gora,N/A,"Kajetan Gora, Mateuse Jacek Maga",N/A,Polish,Poland,N/A,https://m.media-amazon.com/images/M/MV5BYzFmZWNlZTgtOGE4MS00MWYyLWI2MzItN2JiZjFiZTM2YWU5XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6431546,movie,N/A,N/A,N/A,N/A,True,,
532,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
533,Sammy & Co,2014–,N/A,N/A,10 min,Animation,N/A,N/A,N/A,"Sammy & Co is the TV series sequel of the two full length animated features ""A Turtle's Tale: Sammy's Adventures"" and ""A Turtle's Tale 2: Sammy's Escape from Paradise"". The heroes of this ...",French,France,N/A,https://m.media-amazon.com/images/M/MV5BYWJmMGMzNTEtMDgzZS00NTdjLWFkZDEtYTc1M2E1ZTAzZWM2XkEyXkFqcGdeQXVyNjU4NTkwNzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,15,tt2580128,series,,,,,True,2,
534,Theo Von: No Offense,2016,N/A,26 Feb 2016,67 min,"Documentary, Comedy",John Asher,Theo Von,Theo Von,"Southern comedian Theo Von offers up a twisted take on his dating mishaps, meeting Brad Pitt, chasing down fugitive chimpanzees and more.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODMyZjU2NWQtMTI2ZC00Y2ZkLTllYjItNjNiM2Y1NTIyMmIyXkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,608,tt5066564,movie,26 Feb 2016,N/A,Netflix,N/A,True,,
535,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
536,Cooked,2016–,N/A,19 Feb 2016,60 min,Documentary,N/A,N/A,Michael Pollan,"As he tries his hand at baking, brewing and braising, acclaimed food writer Michael Pollan explores how cooking transforms food and shapes our world.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZTU5YTllNzgtZjVjNS00ZWVlLWJhNGItZWJkYWYzMDU3MTJhXkEyXkFqcGdeQXVyNTEwMTQ1NDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"2,413",tt5347906,series,,,,,True,1,
537,Ellis,2015,N/A,20 Nov 2015,15 min,"Short, Drama",JR,Eric Roth,Robert De Niro,A short film that evokes the early years of Ellis Island through the experience of one immigrant.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTQ1NjU0ODE0NF5BMl5BanBnXkFtZTgwMTQwOTg0NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"1,881",tt5227516,movie,N/A,N/A,Emerson Collective,N/A,True,,
538,Death in Buenos Aires,2014,TV-MA,15 May 2014,90 min,"Crime, Drama, Mystery, Romance, Thriller",Natalia Meta,"Laura Farhi (collaborating writer), Gustavo Malajovich (collaborating writer), Natalia Meta, Luz Orlando Brennan (collaborating writer)","Demián Bichir, Chino Darín, Carlos Casella, Mónica Antonópulos","Buenos Aires in the 1980s. Detective Chavez, a family man and a tough cop, once again must solve a mysterious crime. To reveal the identity of the murderer, Chavez must clarify the enigma ...",Spanish,Argentina,3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTc3ODgzNzU3OV5BMl5BanBnXkFtZTgwNjA2MzE1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"1,563",tt3621802,movie,N/A,N/A,N/A,N/A,True,,
